tol_mult,families,cap,mode,n,nz,hod7.5,lod7.5,rand7.5,hod10,lod10,rand10,min10,min7.5,lift10
1.0,cam+em+pdc+piv+pw,0,mean,313,37.8371,0.6102,0.7157,0.7248,0.7157,0.8179,0.9177,0.7157,0.6102,-0.15090000000000003
1.5,atr+cam+em+ext+pdc+piv+pw,45,mean,313,34.8371,0.6294,0.6677,0.6833,0.7125,0.7859,0.8719,0.7125,0.6294,-0.12269999999999992
1.0,cam+em+pdc+piv,0,snap,313,37.3259,0.6134,0.7252,0.715,0.7125,0.8211,0.9114,0.7125,0.6134,-0.14459999999999995
2.0,atr+cam+em+pdc+piv+pw,0,mean,313,31.8403,0.6006,0.6677,0.608,0.7093,0.7987,0.8098,0.7093,0.6006,-0.05579999999999996
1.5,cam+em+ext+pdc+piv+pw,45,mean,313,33.9489,0.6262,0.6645,0.6643,0.7093,0.7923,0.8587,0.7093,0.6262,-0.1079
1.0,cam+em+pdc+piv,0,mean,313,37.3259,0.6038,0.7157,0.715,0.7093,0.8179,0.9114,0.7093,0.6038,-0.14779999999999993
1.0,cam+em+ext+ladder+pdc+piv+pw,45,snap,313,36.7668,0.623,0.6741,0.7223,0.7061,0.7636,0.8799,0.7061,0.623,-0.14505
1.0,atr+cam+em+ext+pdc+piv+pw,45,snap,313,36.2332,0.6294,0.6645,0.7132,0.7061,0.7476,0.8779,0.7061,0.6294,-0.15105000000000002
2.0,atr+cam+em+pdc+piv+pw,0,snap,313,31.8466,0.5911,0.6741,0.6082,0.7029,0.7987,0.81,0.7029,0.5911,-0.05920000000000014
1.0,atr+cam+em+ext+pdc+piv+pw,45,mean,313,36.2268,0.623,0.6581,0.7131,0.7029,0.7572,0.8779,0.7029,0.623,-0.14785000000000004
1.0,atr+cam+em+ext+ladder+pdc+piv+pw,45,snap,313,36.9808,0.623,0.6741,0.7262,0.7029,0.7604,0.8832,0.7029,0.623,-0.15155000000000007
1.5,cam+em+pdc+piv+pw,0,snap,313,33.2748,0.5974,0.6741,0.6363,0.6997,0.7955,0.8403,0.6997,0.5974,-0.0927
1.0,cam+em+ext+ladder+pdc+piv+pw,45,mean,313,36.7604,0.623,0.6677,0.7221,0.6997,0.77,0.8799,0.6997,0.623,-0.14505
1.0,atr+cam+em+ext+ladder+pdc+piv+pw,45,mean,313,36.9744,0.6262,0.6677,0.7261,0.6997,0.7668,0.8832,0.6997,0.6262,-0.14995000000000003
0.75,cam+em+ext+pdc+piv+pw,45,snap,313,36.0319,0.6134,0.655,0.7088,0.6997,0.7412,0.8716,0.6997,0.6134,-0.15115
2.0,atr+cam+em+pdc+piv+pw,45,mean,313,30.1022,0.5879,0.6613,0.5837,0.6965,0.7891,0.7775,0.6965,0.5879,-0.03469999999999995
1.5,cam+em+pdc+piv+pw,0,mean,313,33.2748,0.5911,0.6741,0.6363,0.6965,0.8019,0.8403,0.6965,0.5911,-0.09110000000000007
1.0,cam+em+ext+pdc+piv+pw,45,snap,313,35.639,0.6198,0.6773,0.7009,0.6965,0.754,0.8722,0.6965,0.6198,-0.14695000000000003
0.75,cam+pdc+piv,0,snap,313,37.361,0.5942,0.7093,0.7157,0.6965,0.8019,0.905,0.6965,0.5942,-0.15580000000000005
0.75,cam+em+ext+ladder+pdc+piv+pw,45,snap,313,36.6326,0.607,0.6613,0.7191,0.6965,0.7444,0.8765,0.6965,0.607,-0.1560499999999999
1.5,cam+em+pdc+piv,0,snap,313,32.8978,0.5911,0.6773,0.629,0.6933,0.7955,0.832,0.6933,0.5911,-0.08760000000000001
1.0,cam+em+ext+pdc+piv+pw,45,mean,313,35.6326,0.6102,0.6709,0.7008,0.6933,0.7636,0.8722,0.6933,0.6102,-0.14374999999999993
0.75,cam+pdc+piv,0,mean,313,37.361,0.5911,0.7029,0.7156,0.6933,0.8019,0.9051,0.6933,0.5911,-0.15749999999999997
2.0,cam+em+pdc+piv+pw,0,mean,313,30.2716,0.5815,0.639,0.5773,0.6901,0.7827,0.7693,0.6901,0.5815,-0.03290000000000004
