ts,entry,exit,pnl,dir,bars,how
2025-09-12 15:02:00-04:00,24106.0,24113.25,7.25,L,28,time
2025-09-16 12:52:00-04:00,24526.75,24550.0,23.25,L,69,tgt
2025-09-18 14:28:00-04:00,24722.0,24702.0,-20.0,L,19,stop
2025-09-23 12:32:00-04:00,24868.75,24848.75,-20.0,L,3,stop
2025-09-24 10:53:00-04:00,24725.75,24705.75,-20.0,L,3,stop
2025-09-24 14:37:00-04:00,24716.5,24750.0,33.5,L,23,tgt
2025-09-25 13:05:00-04:00,24475.5,24500.0,24.5,L,1,tgt
2025-09-29 10:37:00-04:00,24856.0,24836.0,-20.0,L,13,stop
2025-09-29 12:04:00-04:00,24813.0,24850.0,37.0,L,59,tgt
2025-10-01 11:46:00-04:00,24936.0,24975.5,39.5,L,19,tgt
2025-10-01 14:25:00-04:00,25015.5,24995.5,-20.0,L,36,stop
2025-10-02 14:38:00-04:00,25109.75,25113.25,3.5,L,52,time
2025-10-03 12:07:00-04:00,25056.0,25078.75,22.75,L,4,tgt
2025-10-06 14:24:00-04:00,25223.5,25203.5,-20.0,L,22,stop
2025-10-07 10:33:00-04:00,25059.25,25039.25,-20.0,L,3,stop
2025-10-09 11:42:00-04:00,25229.5,25250.0,20.5,L,3,tgt
2025-10-14 14:39:00-04:00,24826.75,24806.75,-20.0,L,1,stop
2025-10-16 10:47:00-04:00,24983.5,24963.5,-20.0,L,2,stop
2025-10-20 10:15:00-04:00,25300.25,25322.0,21.75,L,5,tgt
2025-10-21 12:04:00-04:00,25269.25,25300.0,30.75,L,7,tgt
2025-10-23 12:09:00-04:00,25210.75,25250.0,39.25,L,27,tgt
2025-10-24 15:01:00-04:00,25513.0,25517.5,4.5,L,29,time
2025-10-28 14:51:00-04:00,26181.25,26161.25,-20.0,L,8,stop
2025-10-29 10:05:00-04:00,26265.75,26245.75,-20.0,L,5,stop
2025-10-30 13:17:00-04:00,26009.5,25989.5,-20.0,L,4,stop
2025-10-30 14:18:00-04:00,25940.25,25920.25,-20.0,L,3,stop
2025-11-03 13:06:00-05:00,26117.25,26097.25,-20.0,L,12,stop
2025-11-05 13:09:00-05:00,25834.0,25850.0,16.0,L,1,tgt
2025-11-06 12:27:00-05:00,25313.25,25333.25,-20.0,S,2,stop
2025-11-06 13:07:00-05:00,25389.25,25409.25,-20.0,S,19,stop
2025-11-07 13:45:00-05:00,25077.5,25050.0,27.5,S,2,tgt
2025-11-10 13:00:00-05:00,25658.25,25700.0,41.75,L,42,tgt
2025-11-11 14:23:00-05:00,25657.75,25637.75,-20.0,L,34,stop
2025-11-12 13:16:00-05:00,25595.0,25575.0,-20.0,L,12,stop
2025-11-24 11:41:00-05:00,24920.25,24940.25,-20.0,S,31,stop
2025-11-28 10:28:00-05:00,25382.0,25400.0,18.0,L,5,tgt
2025-12-02 10:33:00-05:00,25451.0,25495.75,44.75,L,5,tgt
2025-12-03 12:59:00-05:00,25629.0,25650.0,21.0,L,8,tgt
2025-12-03 14:52:00-05:00,25666.25,25646.25,-20.0,L,2,stop
2025-12-03 15:09:00-05:00,25648.5,25640.25,-8.25,L,21,time
2025-12-11 14:28:00-05:00,25684.5,25664.5,-20.0,L,3,stop
2025-12-16 10:51:00-05:00,25290.5,25310.5,-20.0,S,5,stop
2025-12-18 11:42:00-05:00,25320.5,25340.5,-20.0,S,2,stop
2025-12-24 11:45:00-05:00,25871.5,25900.0,28.5,L,55,tgt
2025-12-29 15:03:00-05:00,25738.75,25741.75,3.0,L,27,time
2025-12-30 13:06:00-05:00,25722.0,25702.0,-20.0,L,60,stop
2025-12-30 15:05:00-05:00,25675.25,25685.5,10.25,L,25,time
